post,bid,block,serial,buyer,seller,date
785af4a8b83c4cc16bb2efdbd195634fd7f0d16639f2586871e59b72587ff289,200000000,46665,1,eminabec,sull,2021-07-28 19:53:32
a0c6a2c01c1bae8b952adc5bf28c1bef2866c25631f6a0018c0c58f98447c1c5,9556574,46667,3,Tropix,Culture_repair,2021-07-28 20:00:11
632fd21bde7d9f6b06bde0d66ea9fedf1ca123059c6da6173f2791f6fa3f5cc1,10000000,46668,1,ParkersDiamonds,ParkerJRoberts1,2021-07-28 20:05:27
ee17fc28011e234a6e1136c47016877a18eb423f45c686fed933217e78d4dece,95565749,46668,7,PE4RL,paulmp,2021-07-28 20:05:27
632fd21bde7d9f6b06bde0d66ea9fedf1ca123059c6da6173f2791f6fa3f5cc1,10000000,46668,1000,ParkersDiamonds,ParkerJRoberts1,2021-07-28 20:05:27
ee17fc28011e234a6e1136c47016877a18eb423f45c686fed933217e78d4dece,100000000,46669,10,GoatTrade,paulmp,2021-07-28 20:13:36
4c69b8d2d2496ddbb683436c54c1ed07c35e9fac6f234892bc0aa9ea8dd8de8a,5000000000,46669,1,JasonKhoury,charlie,2021-07-28 20:13:36
df9a157574b74a21bf465a3de55044d270269861be3b27c5ef0776bdbfb45ab1,100000000,46669,1,milhousevanhouten,qtnyc,2021-07-28 20:13:36
a00d3cac3724d118901cf669a4dfa9901743eb20c4e9c0dca916479da67c3167,91240875,46669,1,Nigels,ftanix_,2021-07-28 20:13:36
4f531b37f468472eee22c9e7197f7e8eb57f11279ba2bbbb4dc0d35a604b7383,286697247,46671,1,fransarthur,metaversepostcards,2021-07-28 20:17:30
136a5509d9c2b8a6a4009c2a26e5e90e492ac4e719d74faae01da5d46c63d22b,96153846,46671,1,samhorine,Nvo,2021-07-28 20:17:30
34a2183302bf0edaa83021a5d954c0d7337fe52aed4f3bc6f78f8d3aca96c3e0,110000000,46671,2,HenriChan7,SukFung,2021-07-28 20:17:30
78903766bf6798220f3b4f2d7901fa8c04cfddd3c9c689f00a8a51cc9ae5fa61,20000000,46671,1,eminabec,samhorine,2021-07-28 20:17:30
4cf264a8a2bd3186c67867d3ac1dceeceec45f28c9df5c16e699ca806ad206c8,60000000,46672,1,eminabec,danielwilson,2021-07-28 20:19:21
1ad38911b8765227aa0e20fe7cfc61ae3bad650145df4d3e23460056a675f877,1000000000,46674,1,bruhmoments,GoatTrade,2021-07-28 20:25:26
09ee5d0a34fb567f98e78bc6c31f01517541ea6795b4a949eecde0806cdb4ffd,66275325,46674,1,Krassenstein,TorySeller,2021-07-28 20:25:26
09ee5d0a34fb567f98e78bc6c31f01517541ea6795b4a949eecde0806cdb4ffd,9467903,46674,50,Sanskarraheja,TorySeller,2021-07-28 20:25:26
1c483d6cbc76ce0b55132ec6f0a729532ffabc9e3bfb8c1c1501fdfbf739a9c2,150000000,46674,1,prelonmusk,ReadyPlayerOne,2021-07-28 20:25:26
09ee5d0a34fb567f98e78bc6c31f01517541ea6795b4a949eecde0806cdb4ffd,60000000,46675,2,HenriChan7,TorySeller,2021-07-28 20:31:01
ee17fc28011e234a6e1136c47016877a18eb423f45c686fed933217e78d4dece,88800000,46675,12,Nvo,paulmp,2021-07-28 20:31:01
09ee5d0a34fb567f98e78bc6c31f01517541ea6795b4a949eecde0806cdb4ffd,9467903,46677,3,NoMansThots,TorySeller,2021-07-28 20:44:42
f8a21db949cc8d369c630bef8fd13bb33f4986839d6f3f812982085e05a3fd26,46737707,46677,1,NYCH,metaversepostcards,2021-07-28 20:44:42
9e7b7c3d023d369db1011bfa7d937a90530074ff46edc6e4edbe601f181812aa,94679,46677,1,Thakkar,clayoglesby,2021-07-28 20:44:42
283b5c1f7f066a7ba577e16f8f2aba330eb7da2d02e1a698ec842c51e0a76190,94679038,46678,1,robinhoodies,bruhmoments,2021-07-28 21:01:55
1c483d6cbc76ce0b55132ec6f0a729532ffabc9e3bfb8c1c1501fdfbf739a9c2,142018557,46678,2,Aikon,ReadyPlayerOne,2021-07-28 21:01:55
f4838e7287f8d392556d98139a1631bb15bd5a6efa28e72457d78a529300789b,19094901,46678,1,Interloper,TorySeller,2021-07-28 21:01:55
6183300b18bce731d9da531736c59217f5affc356961a4bab42336fcd2a75fb9,47339519,46678,1,fransarthur,striga,2021-07-28 21:01:55
9ebb7089991ca5c7bcaa300cdf0bd556964ade736a52292e0267415ae3c66ad7,94679,46678,1,srif_arno,umpedacodeaguilera,2021-07-28 21:01:55
52d2915497a255bd6389f3263f79ba97dfb84c745b190f154541c6501b0527b9,142018557,46678,3,fransarthur,NYCH,2021-07-28 21:01:55
6851e732a370ec729ae68194fa0b36afc01238906b6bf25eaa918ec8b6d84a04,1000000000,46679,1,GoatTrade,Digitalize,2021-07-28 21:06:39
35dac89d8bce2e09d8440a73a8afbfa9f34009885f188c104fb8f5e2c7d4edd6,19094901,46680,3,ReadyPlayerOne,Sandstorm,2021-07-28 21:28:31
78903766bf6798220f3b4f2d7901fa8c04cfddd3c9c689f00a8a51cc9ae5fa61,20000000,46680,2,robinhoodies,samhorine,2021-07-28 21:28:31
f48229d5880a838839af9e8eff1ff5f1734deda883ddfd9b5990640712306c81,9530162,46680,1,Sandirose,Kiko,2021-07-28 21:28:31
6851e732a370ec729ae68194fa0b36afc01238906b6bf25eaa918ec8b6d84a04,1000000000,46680,2,bruhmoments,Digitalize,2021-07-28 21:28:31
35dac89d8bce2e09d8440a73a8afbfa9f34009885f188c104fb8f5e2c7d4edd6,9547450,46680,4,Petrh,Sandstorm,2021-07-28 21:28:31
52d2915497a255bd6389f3263f79ba97dfb84c745b190f154541c6501b0527b9,100066711,46680,5,NYCH,SukFung,2021-07-28 21:28:31
283b5c1f7f066a7ba577e16f8f2aba330eb7da2d02e1a698ec842c51e0a76190,113614845,46680,1,NYCH,robinhoodies,2021-07-28 21:28:31
51bdc742f660b4136d98cf897b64e20d0df62590a59da7eb389ff4d5c7acc07f,94679038,46680,1,ClayPerryMusic,wendyleigh,2021-07-28 21:28:31
09ee5d0a34fb567f98e78bc6c31f01517541ea6795b4a949eecde0806cdb4ffd,50000000,46680,8,NFT_Skywalker,TorySeller,2021-07-28 21:28:31
e83ad50490375fd12ae12fd028891b4eb37348084cdf99c21804fecfc51714d6,284037114,46680,1,ClayPerryMusic,wendyleigh,2021-07-28 21:28:31
34a2183302bf0edaa83021a5d954c0d7337fe52aed4f3bc6f78f8d3aca96c3e0,100500000,46681,1,SukFung,NYCH,2021-07-28 21:34:37
af4d93744ca40db6a3d976a3f92be6cb31d8c0a87ceab261ec575983a9092e30,161059754,46682,1,Catalunya,rnovoa,2021-07-28 21:40:43
6851e732a370ec729ae68194fa0b36afc01238906b6bf25eaa918ec8b6d84a04,1000000000,46682,3,CreatorFundMicro,Digitalize,2021-07-28 21:40:43
4b6490196457fafbec03e7f8c5ae346efd4808f73991bc4c1646e71078a64fc9,104146941,46685,1,ReadyPlayerOne,KingOfHearts,2021-07-28 21:44:16
4b6490196457fafbec03e7f8c5ae346efd4808f73991bc4c1646e71078a64fc9,100000000,46686,2,clayoglesby,KingOfHearts,2021-07-28 21:46:17
4b6490196457fafbec03e7f8c5ae346efd4808f73991bc4c1646e71078a64fc9,100000000,46686,4,clayoglesby,KingOfHearts,2021-07-28 21:46:17
4b6490196457fafbec03e7f8c5ae346efd4808f73991bc4c1646e71078a64fc9,100000000,46686,3,clayoglesby,KingOfHearts,2021-07-28 21:46:17
4b6490196457fafbec03e7f8c5ae346efd4808f73991bc4c1646e71078a64fc9,100000000,46686,5,clayoglesby,KingOfHearts,2021-07-28 21:46:17
9f886c22262b6eb48865cbcc478bb63185992ece4028b547f9261eb0b0ce69a3,6457046,46688,2,TorySeller,BilluBonker,2021-07-28 22:04:47
34a2183302bf0edaa83021a5d954c0d7337fe52aed4f3bc6f78f8d3aca96c3e0,100037432,46688,3,NYCH,SukFung,2021-07-28 22:04:47
33fc7233b039fa4fc37ba09aeb5e00269333920068b8bedc4f1a032eeeca6399,50000000,46688,1,MananAI,MananaSamuseva,2021-07-28 22:04:47
34a2183302bf0edaa83021a5d954c0d7337fe52aed4f3bc6f78f8d3aca96c3e0,100100000,46688,3,SukFung,NYCH,2021-07-28 22:04:47
eb71df259e1c00a439ea623fdac4dc58c06846d0356562b5ca4338999fd5603d,93475415,46689,1,ZORAN,Black_Lab_LA,2021-07-28 22:10:05
7148ac249ed1ea770fe0d34490ce7844361d35902cf049441430a105be814da2,9358038,46690,1,dgsus,TorySeller,2021-07-28 22:14:29
35dac89d8bce2e09d8440a73a8afbfa9f34009885f188c104fb8f5e2c7d4edd6,47650814,46691,5,clayoglesby,Sandstorm,2021-07-28 22:22:00
42fea249ff3a33f6cd6440107b34cedb57975bf41fcd6cecb4be9bd4bb09dba1,9346667,46692,2,Catalunya,rnovoa,2021-07-28 22:44:07
d5791155c25f158cdc55d19ea664351969cbac288dc24b20252e7b0cf51408ff,70000000,46692,1,100,metaversepostcards,2021-07-28 22:44:07
24abeb40b03f5caa0f9295c0b11e30a25429311e36db004253d1a1db51e207fe,10374801,46692,1,TorySeller,tylerdurden_,2021-07-28 22:44:07
fd02f3df23b8faffb030dec540c27ee6fe125267a66dadc599a92a38c5f8a621,1038742279,46692,1,RajLahoti,Wildography,2021-07-28 22:44:07
bf4d035c461844c3d4f11595c83454471a69afe11b9eb7e6584d4b241646140a,10281334,46693,1,uhdap,metaversepostcards,2021-07-28 22:57:41
42fea249ff3a33f6cd6440107b34cedb57975bf41fcd6cecb4be9bd4bb09dba1,9346667,46694,11,DREVOLUTION,rnovoa,2021-07-28 23:04:30
42fea249ff3a33f6cd6440107b34cedb57975bf41fcd6cecb4be9bd4bb09dba1,9346667,46694,13,MarketPlaceNFT,rnovoa,2021-07-28 23:04:30
09ee5d0a34fb567f98e78bc6c31f01517541ea6795b4a949eecde0806cdb4ffd,10000000,46696,4,striga,TorySeller,2021-07-28 23:16:14
afbc0613139753a1b3713bf2d236fe495a3ea602d41812170e33ddedc2ce5201,233666697,46698,1,Krassenstein,ElrickErikose,2021-07-28 23:32:48
19bed95075e712c14b689a2f7ac2a5619fd338b5ef165f5b82809eae5549f0c3,91240875,46698,1,PerzaMedia,LordOfTheMemes,2021-07-28 23:32:48
09ee5d0a34fb567f98e78bc6c31f01517541ea6795b4a949eecde0806cdb4ffd,9346667,46698,7,noelfernandez,TorySeller,2021-07-28 23:32:48
24abeb40b03f5caa0f9295c0b11e30a25429311e36db004253d1a1db51e207fe,9346667,46700,69,przemyslawdygdon,tylerdurden_,2021-07-28 23:40:30
2975115e883b2f710d497a203678e9d385603514c4433bffa6efc3987edc48fc,103083122,46702,1,Krassenstein,Interloper,2021-07-29 00:24:15
4bd205ec36bb13e76620b48ffc601340562c3ad7fa61b5343f0d9edc6ff6e2f8,100000000000,46702,1,maebeam,CloutPapa,2021-07-29 00:24:15
4bd205ec36bb13e76620b48ffc601340562c3ad7fa61b5343f0d9edc6ff6e2f8,10000000,46702,2,LazyNina,CloutPapa,2021-07-29 00:24:15
4bd205ec36bb13e76620b48ffc601340562c3ad7fa61b5343f0d9edc6ff6e2f8,2000000000,46702,8,maebeam,CloutPapa,2021-07-29 00:24:15
4bd205ec36bb13e76620b48ffc601340562c3ad7fa61b5343f0d9edc6ff6e2f8,3000000000,46702,7,maebeam,CloutPapa,2021-07-29 00:24:15
4bd205ec36bb13e76620b48ffc601340562c3ad7fa61b5343f0d9edc6ff6e2f8,30000000000,46702,4,maebeam,CloutPapa,2021-07-29 00:24:15
4bd205ec36bb13e76620b48ffc601340562c3ad7fa61b5343f0d9edc6ff6e2f8,1000000000,46702,9,maebeam,CloutPapa,2021-07-29 00:24:15
4bd205ec36bb13e76620b48ffc601340562c3ad7fa61b5343f0d9edc6ff6e2f8,20000000000,46702,3,maebeam,CloutPapa,2021-07-29 00:24:15
4bd205ec36bb13e76620b48ffc601340562c3ad7fa61b5343f0d9edc6ff6e2f8,5000000000,46702,5,maebeam,CloutPapa,2021-07-29 00:24:15
4bd205ec36bb13e76620b48ffc601340562c3ad7fa61b5343f0d9edc6ff6e2f8,4000000000,46702,6,maebeam,CloutPapa,2021-07-29 00:24:15
df51ca2be89f9559fd754be2275bb30ef7b98a0ece56c30dc6b0360a381731b3,93711,46702,69,przemyslawdygdon,PoopCoin,2021-07-29 00:24:15
d0fece4b3c7a89eb985bd75e23a56ada19536285d6bae0e7c959eca115bb9fda,46733339,46702,1,bruhmoments,futurepolitician,2021-07-29 00:24:15
77605ee6805db0717ccee329bbdc85e04fcafeea6718b5c4acf9b241d19991a0,10483179,46702,1,Petrh,clayoglesby,2021-07-29 00:24:15
24abeb40b03f5caa0f9295c0b11e30a25429311e36db004253d1a1db51e207fe,937119,46702,2,MeredithMarsone,tylerdurden_,2021-07-29 00:24:15
49b860a68ec0be815af565aa7a84823d90aabae1a24687e80fa7cde52c6eb67f,46790192,46702,1,MadamFetish,przemyslawdygdon,2021-07-29 00:24:15
09ee5d0a34fb567f98e78bc6c31f01517541ea6795b4a949eecde0806cdb4ffd,9371192,46702,96,tylerdurden_,TorySeller,2021-07-29 00:24:15
7fe1bc5f28ffcf1d96a9b08efd0ca2d498c5966baa2b0a36d1648918047e2bdf,10000000,46709,1,SeanSlater,TodayInHistory,2021-07-29 00:52:06
78903766bf6798220f3b4f2d7901fa8c04cfddd3c9c689f00a8a51cc9ae5fa61,19561815,46709,3,marmalade,samhorine,2021-07-29 00:52:06
5305c76b3a4fc1508cf2e78fa6439b5c362ac7f0153d6ee1426d840886b25740,2163346993,46709,1,Krassenstein,Gabrieldisante,2021-07-29 00:52:06
910f65881f45f9965254b3cf2204c5fb3b2034a32a1272e84eabb3706091201d,9723842,46710,4,Shhubham,tylerdurden_,2021-07-29 00:53:16
910f65881f45f9965254b3cf2204c5fb3b2034a32a1272e84eabb3706091201d,9723842,46710,7,noelfernandez,tylerdurden_,2021-07-29 00:53:16
ee17fc28011e234a6e1136c47016877a18eb423f45c686fed933217e78d4dece,200000000,46711,13,CreatorFundMicro,paulmp,2021-07-29 00:57:35
52d2915497a255bd6389f3263f79ba97dfb84c745b190f154541c6501b0527b9,104000000,46712,5,SukFung,NYCH,2021-07-29 01:07:01
aa4021aec8cababa12292469b8ed7dadc75efef94edaf72cca940b0e4053be00,10000000,46712,3,NFTmagic,MarioBro,2021-07-29 01:07:01
fec1b89054e9fe0babea5d151687b559c0456caa9725a607164a22d4c144abdf,46733339,46712,1,bruhmoments,Shhubham,2021-07-29 01:07:01
910f65881f45f9965254b3cf2204c5fb3b2034a32a1272e84eabb3706091201d,9723842,46712,3,Panini,tylerdurden_,2021-07-29 01:07:01
910f65881f45f9965254b3cf2204c5fb3b2034a32a1272e84eabb3706091201d,69000000,46712,69,dgsus,tylerdurden_,2021-07-29 01:07:01
aa4021aec8cababa12292469b8ed7dadc75efef94edaf72cca940b0e4053be00,9723842,46712,1,NFTmagic,MarioBro,2021-07-29 01:07:01
aa4021aec8cababa12292469b8ed7dadc75efef94edaf72cca940b0e4053be00,10000000,46712,2,NFTmagic,MarioBro,2021-07-29 01:07:01
24abeb40b03f5caa0f9295c0b11e30a25429311e36db004253d1a1db51e207fe,10000000,46712,11,dgsus,tylerdurden_,2021-07-29 01:07:01
d9dac2c6ca33218a3df4cd3d0fb95a57ae4d937d30c14ce2f530bbd6d391df29,96665055,46714,1,CloutOriginals,hinsightprophet,2021-07-29 01:18:38
0deb50b8c15689e73f1772a8c36dd66926ac475e15ca94961c5b19c6d0a8848e,966650,46714,1,Juls,SLAVA,2021-07-29 01:18:38
774ba15c12f63367dcc03daaa7bf511a95c3375a638d5e2c19598c8171a2a066,9666505,46714,1,TorySeller,DannyWithAlotOfUgene,2021-07-29 01:18:38
d9dac2c6ca33218a3df4cd3d0fb95a57ae4d937d30c14ce2f530bbd6d391df29,96665055,46715,11,AZclout,hinsightprophet,2021-07-29 01:26:09
0b292029c100fb99afb68bbfa75b569702abe13cf900b0af078a032332e4ebba,2220000000,46717,1,RajLahoti,flanagan,2021-07-29 01:40:42
910f65881f45f9965254b3cf2204c5fb3b2034a32a1272e84eabb3706091201d,9666505,46717,9,NoMansThots,tylerdurden_,2021-07-29 01:40:42
910f65881f45f9965254b3cf2204c5fb3b2034a32a1272e84eabb3706091201d,9666505,46717,2,CLoutPhoto,tylerdurden_,2021-07-29 01:40:42
d9853de3baaa04785f4b3f786d77e94eedc6ba0b59f3812eab499af883cd5ed8,58343057,46718,1,MeredithMarsone,LuiPeti,2021-07-29 01:44:47
2e874430a4432b5fd12df10ebd892fd3c0a77f23a8b631babd22c8f41bf60aae,48235862,46718,1,CateColgan,MiggyCrypto,2021-07-29 01:44:47
7b61efc3633db57aaf0271337847b2a1adbcb908f6d2bca1410b051103a405f4,9,46721,1,investagator,rhubarb,2021-07-29 01:57:10
1726f89d86f628e759709c3db1a53dac5e75e46fc56e713d70dc34cbdaa4bb7c,50000000,46722,1,ParkerJRoberts1,rajPULLplus,2021-07-29 02:01:14
910f65881f45f9965254b3cf2204c5fb3b2034a32a1272e84eabb3706091201d,9666505,46723,6,321,tylerdurden_,2021-07-29 02:03:25
910f65881f45f9965254b3cf2204c5fb3b2034a32a1272e84eabb3706091201d,9666505,46723,100,przemyslawdygdon,tylerdurden_,2021-07-29 02:03:25
24abeb40b03f5caa0f9295c0b11e30a25429311e36db004253d1a1db51e207fe,1063315,46727,1000,Krassenstein,tylerdurden_,2021-07-29 02:16:59
ec0fdb0e3f9c8e447de3e3e30a058b67a1860cb95385f969300186146ea79ade,96665055,46727,1,ParkerJRoberts1,whalefriend,2021-07-29 02:16:59
910f65881f45f9965254b3cf2204c5fb3b2034a32a1272e84eabb3706091201d,12083131,46727,99,CompulsiveDoodler,tylerdurden_,2021-07-29 02:16:59
ec0fdb0e3f9c8e447de3e3e30a058b67a1860cb95385f969300186146ea79ade,96665055,46728,1,whalefriend,ParkerJRoberts1,2021-07-29 02:24:49
ee17fc28011e234a6e1136c47016877a18eb423f45c686fed933217e78d4dece,142018557,46728,14,Taonaya,paulmp,2021-07-29 02:24:49
cc83f9cf21897de801906409d8e7223ab67cb7deab31bd70a12d2dcbd7bc40ee,9346667,46728,1,MananAI,przemyslawdygdon,2021-07-29 02:24:49
910f65881f45f9965254b3cf2204c5fb3b2034a32a1272e84eabb3706091201d,9666505,46730,16,Interloper,tylerdurden_,2021-07-29 02:40:25
893cc6de852bbdb106948a80baa6059c387ff45453ffb45c42c7b35e1dd95443,96665055,46731,1,4200,Curatedfeed,2021-07-29 02:48:56
de90c6f55c4cb643a44ade507904c7fcd9d22d093eb1b364e32e8acca407cbb9,46790192,46733,1,lowprice,Austinn,2021-07-29 02:57:23
3c6a71949c122e47aba127ddaeeb7ae559579b7702c51b583d1cf0e2fffb0941,96665055,46734,1,SC0TT,StarKey,2021-07-29 03:04:51
78903766bf6798220f3b4f2d7901fa8c04cfddd3c9c689f00a8a51cc9ae5fa61,21000000,46734,4,milhousevanhouten,samhorine,2021-07-29 03:04:51
f1ade712f4305ffc9805bed683583c4e4981654be1dbd0cb8f4c4359c1f56e26,96665055,46735,1,PerzaMedia,LordOfTheMemes,2021-07-29 03:23:10
893cc6de852bbdb106948a80baa6059c387ff45453ffb45c42c7b35e1dd95443,96665055,46735,2,bitswan2,Curatedfeed,2021-07-29 03:23:10
3fca349283739431dbd229c62421c5fe5bec2f0cc8b668c061343bcd3f67e501,200000000,46735,1,Nvo,sourdough,2021-07-29 03:23:10
3fca349283739431dbd229c62421c5fe5bec2f0cc8b668c061343bcd3f67e501,473395190,46735,2,FreeMrktCptlst,sourdough,2021-07-29 03:23:10
3fca349283739431dbd229c62421c5fe5bec2f0cc8b668c061343bcd3f67e501,200000000,46735,3,maz,sourdough,2021-07-29 03:23:10
1580ee0188ca6f278ee4a18a7de8c7e4dfbb2e0b2afbebb354d49a4bd7ba988f,9666505,46735,3,BluntClout,hot_girls,2021-07-29 03:23:10
607dfb98f2d47a8123c2a392f231580e857aadfb17189f270e7349b414cce450,244522691,46735,1,auztinrock,Sigmund,2021-07-29 03:23:10
59eb363078ddbdfdd41c72d1a906c3901032e38544f930354435389de59d3fde,48332527,46736,1,MissKatiann,TonyWu,2021-07-29 03:25:23
5a1e3cf992c66df0dfddf374b7f3f93e2ed6c825911bbeed9fec8c97f1f04e7f,250000000,46736,1,SupportingCreators,UnknownNFT,2021-07-29 03:25:23
5a1e3cf992c66df0dfddf374b7f3f93e2ed6c825911bbeed9fec8c97f1f04e7f,10000000,46737,5,qtnyc,UnknownNFT,2021-07-29 03:50:26
fd28ee11a82910598dc374bbaa4ed4eacbd402f64de9adc00779a06ed3f995b6,9666505,46737,10,Goodin,somdipdey,2021-07-29 03:50:26
fd28ee11a82910598dc374bbaa4ed4eacbd402f64de9adc00779a06ed3f995b6,9666505,46737,5,cloutcon,somdipdey,2021-07-29 03:50:26
5a1e3cf992c66df0dfddf374b7f3f93e2ed6c825911bbeed9fec8c97f1f04e7f,100000000,46737,2,GoatTrade,UnknownNFT,2021-07-29 03:50:26
5a1e3cf992c66df0dfddf374b7f3f93e2ed6c825911bbeed9fec8c97f1f04e7f,100000000,46737,8,GoatTrade,UnknownNFT,2021-07-29 03:50:26
5a1e3cf992c66df0dfddf374b7f3f93e2ed6c825911bbeed9fec8c97f1f04e7f,19333011,46737,11,MeredithMarsone,UnknownNFT,2021-07-29 03:50:26
5a1e3cf992c66df0dfddf374b7f3f93e2ed6c825911bbeed9fec8c97f1f04e7f,10000000,46737,6,przemyslawdygdon,UnknownNFT,2021-07-29 03:50:26
34a2183302bf0edaa83021a5d954c0d7337fe52aed4f3bc6f78f8d3aca96c3e0,96665055,46737,1,NYCH,SukFung,2021-07-29 03:50:26
6ee9b25b4f6c8090b497c2629f2ba45177d1ba400669192eb7a00538a6a799e7,966650,46737,1,PrinceCharming,Crowd33,2021-07-29 03:50:26
12ec046226c5e0280cec1d8af5449f855b7e560656e5006de5bf03c67b53aef0,386660,46737,1,van_maverick,Austinn,2021-07-29 03:50:26
81566a89145f51abc19c781f679e23cb08c53ff8ab4bdbc729e67164012605a2,30000000,46737,1,Doodles,BitCreatorCapital,2021-07-29 03:50:26
81566a89145f51abc19c781f679e23cb08c53ff8ab4bdbc729e67164012605a2,9666505,46737,69,0xJack,BitCreatorCapital,2021-07-29 03:50:26
8eb0d6df8e9842eb492e7d27ba31258fbdb5a6aea407aa0fb05bac1ebd85fc34,9666505,46737,1,PhotoVerified,Aryank995,2021-07-29 03:50:26
28ff41cd4a1946e8e6f961858443b88965a0b8ea266a57b977d05e29ac0d2f96,160000000,46737,1,Sigmund,GraphicShivam,2021-07-29 03:50:26
bb38b131f78c5a5e40e8e1cb5e416d73bc85ae8ab7d0643a080a0c4b589be905,9821081,46739,1,marmalade,ghosting,2021-07-29 04:14:02
